IATA,STATION
'BTR',USW00013970
'ROC',USW00014768
'MCO',USW00012815
'OTZ',USW00026616
'AGS',USW00003820
'SGF',USW00013995
'WYS',USS0011E07S
'SAN',USW00023188
'BZN',USW00024132
'GGG',USW00003901
'SHD',USW00013733
'YAK',USW00025339
'JFK',USW00094789
'ANC',USW00026451
'DAB',USW00012834
'SUX',USW00014943
'PAH',USW00003816
'GNV',USW00012816
'MSO',USW00024153
'PHL',USW00013739
'OGG',USW00022516
'DSM',USW00014933
'SAT',USW00012921
'SLC',USW00024127
'STT',VQW00011640
'RAP',USW00024090
'SBP',USW00093206
'CLD',USW00003177
'ASE',USW00093073
